TI5_WAYPOINT_V1 motor_rad
neck_yaw 0.00095873799242852573
neck_pitch -0.00047936899621426287
neck_roll -0.00074302194413210741
left_shoulder_pitch 0.17027186745530618
left_shoulder_roll -1.1203332810523536
left_shoulder_yaw -0.30852188596349955
left_elbow_yaw -1.9609307843638744
left_wrist_pitch -0.030056436062634282
left_wrist_yaw 0.0027803401780427247
left_wrist_roll 7.190534943213943e-05
right_shoulder_pitch -0.22127672865250375
right_shoulder_roll 1.0105817493690983
right_shoulder_yaw 0.0076699039394282058
right_elbow_yaw 1.9618415854566815
right_wrist_pitch -0.0005273058958356891
right_wrist_yaw -0.0018935075350463384
right_wrist_roll -0.00167779148674992
waist_yaw 3.1413290006418753
